,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
3208,Kepler-97,5790.0,0.9453333333333334,0.9730960833333333,-0.2,-0.07958587434195467,8.42,0.5
3209,Kepler-971,5495.554545454545,0.9019999999999999,1.206900090909091,-0.56,-0.29873,9.6,5.598415605095542
3210,Kepler-972,6030.222222222223,1.077625,1.1631066666666667,-0.04,0.19129,4.1,5.598415605095542
3211,Kepler-973,5192.932,0.8004444444444444,0.7992627999999999,-0.4,-0.34416,2.29,5.598415605095542
3212,Kepler-974,3639.25,0.48438249999999994,0.4936937,0.0,-0.7441908743419547,9.213463839681134,5.598415605095542
3213,Kepler-975,4835.137777777778,0.8554444444444445,1.1863380757575759,0.35035,-0.51184,9.4,5.598415605095542
3214,Kepler-976,5195.7,0.8575555555555555,0.8244078,0.07,-0.35971,4.68,5.598415605095542
3215,Kepler-977,5280.885,0.8282222222222223,0.8019894000000001,-0.14,-0.47627,4.57,5.598415605095542
3216,Kepler-978,6159.5925,1.0658333333333334,1.07117,-0.0599,-0.13412174868390936,3.63,5.598415605095542
3217,Kepler-979,5218.41,0.8583333333333333,0.8060653999999999,0.131,-0.31956,4.57,5.598415605095542
3218,Kepler-98,5547.75,0.9787499999999999,0.970169,0.2,-0.13324,0.95,0.5
3219,Kepler-980,5863.940909090909,0.9955,1.1001,-0.34,0.2618,0.3,5.598415605095542
3220,Kepler-981,5851.656,1.0097777777777777,0.9411108,0.137,-0.08124,0.5,5.598415605095542
3221,Kepler-982,6297.652727272728,1.1844,1.4428654545454547,-0.2068,0.51095,3.55,5.598415605095542
3222,Kepler-983,6116.371,1.0921666666666667,1.1032857142857142,-0.2,-0.13412174868390936,1.41,5.598415605095542
3223,Kepler-984,5610.248,0.9492222222222222,1.0916508,0.02,-0.10846,13.8,5.598415605095542
3224,Kepler-985,5542.9,0.9345000000000001,0.8836896,0.0,-0.28282,1.82,5.598415605095542
3225,Kepler-986,5622.710909090909,0.9676,0.9554145454545455,0.0,-0.04683,6.17,5.598415605095542
3226,Kepler-987,5787.0,1.0126666666666668,0.9152663000000001,0.01,-0.14468,2.45,5.598415605095542
3227,Kepler-988,3950.222222222222,0.5705997500000001,0.5737417777777778,-0.32,-1.04739,3.16,5.598415605095542
3228,Kepler-989,5099.4,0.817111111111111,0.8445221,0.16,-0.42689,13.9,5.598415605095542
3229,Kepler-990,5745.211,0.9599624999999999,1.00950525,-0.22249999999999998,-0.05003,3.55,5.598415605095542
3230,Kepler-991,4332.333333333333,0.61425,0.6028146666666667,-0.44,-0.83074,3.47,5.598415605095542
3231,Kepler-992,4912.189090909091,0.8455999999999999,1.128439,0.02,-0.56959,2.19,5.598415605095542
3232,Kepler-993,3744.4,0.5345113333333333,0.5594276,-0.2,-1.22868,3.89,5.598415605095542
3233,Kepler-994,3908.2,0.5589394444444444,0.5571454,-0.1,-1.13919,14.0,5.598415605095542
